Nom;Prenom;Email
VJVXK;lfyuh;lfyuh.VJVXK@etu-u.bordeaux.fr
QMUPM;loiju;loiju.QMUPM@etu-u.bordeaux.fr
DPAKQ;anixv;anixv.DPAKQ@etu-u.bordeaux.fr
NHPXA;myolf;myolf.NHPXA@etu-u.bordeaux.fr
PRIHJ;ycaad;ycaad.PRIHJ@etu-u.bordeaux.fr
PLFYB;ihxxo;ihxxo.PLFYB@etu-u.bordeaux.fr
MTTGY;fgnyw;fgnyw.MTTGY@etu-u.bordeaux.fr
BHHSK;pqlil;pqlil.BHHSK@etu-u.bordeaux.fr
WDLBP;pexlk;pexlk.WDLBP@etu-u.bordeaux.fr
JRMFP;csiix;csiix.JRMFP@etu-u.bordeaux.fr
TUSSX;qbrwi;qbrwi.TUSSX@etu-u.bordeaux.fr
FKGHJ;ejrdp;ejrdp.FKGHJ@etu-u.bordeaux.fr
KMQXV;mdzfx;mdzfx.KMQXV@etu-u.bordeaux.fr
YGPWZ;ckloc;ckloc.YGPWZ@etu-u.bordeaux.fr
GNDXT;miljy;miljy.GNDXT@etu-u.bordeaux.fr
